GO_ID,x,y
GO:0000002,0.066049,0.632320
GO:0000009,-0.163209,0.568900
GO:0000012,0.562005,-0.040966
GO:0000014,-0.215794,0.700381
GO:0000015,0.050315,0.597051
GO:0000016,-0.230738,0.520783
GO:0000017,0.188491,-0.419708
GO:0000018,-0.662311,0.217837
GO:0000019,-0.669517,0.158103
GO:0000022,0.028685,0.552691
GO:0000023,0.557470,-0.082635
GO:0000025,0.565357,-0.043753
GO:0000026,-0.133887,0.553121
GO:0000027,-0.006257,0.358852
GO:0000028,0.032618,0.343983
GO:0000030,-0.138254,0.599960
GO:0000033,-0.117894,0.589468
GO:0000035,0.027623,0.551139
GO:0000036,-0.097764,-0.448341
GO:0000038,0.629715,-0.173613
GO:0000041,0.473341,-0.201062
GO:0000045,0.626811,-0.205559
GO:0000048,-0.157081,0.611894
GO:0000049,-0.156242,0.499695
GO:0000050,0.688396,-0.220454
GO:0000052,0.561831,-0.298289
GO:0000053,0.501135,-0.240650
GO:0000054,0.463049,-0.074875
GO:0000055,0.540230,-0.024411
GO:0000056,0.492770,-0.084982
GO:0000062,-0.194136,0.563990
GO:0000064,-0.399926,-0.268985
GO:0000070,0.529692,-0.225433
GO:0000075,0.453231,-0.344266
GO:0000076,0.421658,-0.300688
GO:0000077,0.213118,0.178498
GO:0000079,0.026330,0.553263
GO:0000082,0.658846,-0.151530
GO:0000086,0.678474,-0.147140
GO:0000095,-0.293011,-0.190505
GO:0000096,0.715667,-0.157902
GO:0000097,0.691023,-0.162138
GO:0000098,0.706968,-0.130775
GO:0000099,-0.336041,-0.225782
GO:0000101,-0.034339,-0.702470
GO:0000103,0.619513,-0.164229
GO:0000104,-0.262684,0.443094
GO:0000105,0.666843,-0.055226
GO:0000109,-0.213130,0.452213
GO:0000110,-0.209108,0.481289
GO:0000111,-0.204854,0.473244
GO:0000112,-0.226644,0.431804
GO:0000118,-0.318297,0.508057
GO:0000120,-0.355678,0.473421
GO:0000121,-0.214033,0.537110
GO:0000122,-0.222214,0.065615
GO:0000123,-0.208644,0.478598
GO:0000124,-0.196522,0.457027
GO:0000126,-0.335783,0.430896
GO:0000127,-0.242691,0.489450
GO:0000132,0.614371,-0.146297
GO:0000137,-0.045848,-0.398006
GO:0000138,-0.060030,-0.370027
GO:0000139,0.156417,-0.505134
GO:0000140,-0.191390,0.407463
GO:0000145,-0.394947,0.294743
GO:0000146,-0.154238,0.466245
GO:0000149,-0.998461,0.116879
GO:0000150,-0.999731,0.118373
GO:0000151,-0.233924,0.430555
GO:0000152,-0.249443,0.452114
GO:0000153,-0.215096,0.388867
GO:0000154,0.456707,-0.170354
GO:0000155,-0.252691,-0.982724
GO:0000159,-0.092155,0.488207
GO:0000160,-0.999752,0.118398
GO:0000164,-0.148258,0.540191
GO:0000165,-0.999706,0.118345
GO:0000166,-0.999725,0.118213
GO:0000170,-0.999743,0.118373
GO:0000171,-0.260292,0.563102
GO:0000172,-0.371305,0.343197
GO:0000175,-0.247593,0.594618
GO:0000176,-0.244265,0.517001
GO:0000177,-0.149179,0.492806
GO:0000178,-0.130236,0.483016
GO:0000179,-0.188075,0.667234
GO:0000182,-0.264736,0.637874
GO:0000183,0.682820,-0.015585
GO:0000184,0.517697,-0.172876
GO:0000209,0.658976,-0.111276
GO:0000210,-0.999708,0.118359
GO:0000212,0.693000,-0.167703
GO:0000213,-0.196097,0.583759
GO:0000214,-0.367244,0.316235
GO:0000215,-0.229353,0.556248
GO:0000217,-0.316273,0.501201
GO:0000220,-0.999719,0.118338
GO:0000221,-0.999721,0.118328
GO:0000224,-0.183470,0.634122
GO:0000225,-0.208600,0.572446
GO:0000226,0.644829,-0.155876
GO:0000228,-0.089393,-0.459144
GO:0000235,-0.060781,-0.295404
GO:0000242,0.047537,0.631776
GO:0000243,-0.243584,0.486189
GO:0000244,-0.003213,0.328428
GO:0000245,0.013448,0.359183
GO:0000246,-0.240459,0.505495
GO:0000247,-0.068656,0.490470
GO:0000248,-0.239038,0.645848
GO:0000250,-0.051911,0.509040
GO:0000252,-0.210489,0.423433
GO:0000253,-0.206594,0.454736
GO:0000254,-0.202174,0.484559
GO:0000255,0.051261,0.609816
GO:0000256,0.099035,0.575263
GO:0000262,-0.064182,-0.402283
GO:0000266,0.585361,-0.252570
GO:0000268,0.058528,0.598998
GO:0000270,0.514581,-0.271422
GO:0000271,0.635397,-0.161854
GO:0000272,0.635588,-0.104690
GO:0000278,0.045519,0.635626
GO:0000280,0.634478,-0.272204
GO:0000281,0.563017,-0.098450
GO:0000285,-0.379038,-0.500118
GO:0000287,-0.779015,-0.326174
GO:0000288,0.501614,-0.138256
GO:0000289,0.533994,-0.146152
GO:0000290,0.460816,-0.157950
GO:0000293,-0.253851,0.395316
GO:0000295,-0.476574,-0.192259
GO:0000296,0.701849,0.303745
GO:0000298,0.060571,0.600671
GO:0000301,0.768464,-0.149527
GO:0000302,0.384002,-0.290467
GO:0000303,0.048389,0.621028
GO:0000304,0.039438,0.613840
GO:0000305,0.051058,0.617504
GO:0000307,-0.245822,0.547843
GO:0000308,-0.283806,0.511758
GO:0000309,0.587832,0.351839
GO:0000313,-0.026665,-0.517813
GO:0000314,-0.270558,0.452203
GO:0000315,-0.283074,0.471297
GO:0000320,0.047655,0.616943
GO:0000322,0.055562,0.612517
GO:0000323,0.307677,0.006316
GO:0000332,0.056282,0.614137
GO:0000333,-0.385906,0.315043
GO:0000334,-0.197986,0.485857
GO:0000338,0.719245,-0.104232
GO:0000339,-0.211095,0.420152
GO:0000340,-0.285532,0.425370
GO:0000341,-0.267805,0.471179
GO:0000346,-0.257739,0.528133
GO:0000347,-0.339886,0.453889
GO:0000348,0.002230,0.326633
GO:0000349,0.044557,0.338014
GO:0000350,0.032662,0.329784
GO:0000353,0.000080,0.327067
GO:0000354,-0.006337,0.321738
GO:0000375,0.485182,-0.101846
GO:0000377,0.478246,-0.140492
GO:0000379,0.510927,-0.218407
GO:0000380,0.459614,-0.135151
GO:0000381,-0.072270,0.026720
GO:0000386,-0.265091,0.679145
GO:0000387,-0.000248,0.325807
GO:0000388,-0.017595,0.339920
GO:0000389,-0.004983,0.343506
GO:0000390,0.065296,0.328651
GO:0000394,0.491860,-0.192149
GO:0000395,0.008594,0.314742
GO:0000398,0.475778,-0.112116
GO:0000400,-0.209736,0.461213
