GO_ID,x,y
GO:0000002,0.066049,0.63232
GO:0000009,0.05722,0.611184
GO:0000012,0.057577,0.609401
GO:0000014,0.056538,0.609394
GO:0000015,0.050315,0.597051
GO:0000016,0.045643,0.577063
GO:0000017,0.029973,0.554473
GO:0000018,0.029297,0.553566
GO:0000019,0.02831,0.551987
GO:0000022,0.028685,0.552691
GO:0000023,0.028441,0.552316
GO:0000025,0.028177,0.551489
GO:0000026,0.027942,0.551362
GO:0000027,0.026955,0.551236
GO:0000028,0.027154,0.55144
GO:0000030,0.027896,0.551299
GO:0000033,0.027666,0.550967
GO:0000035,0.027623,0.551139
GO:0000036,0.028126,0.550338
GO:0000038,0.027997,0.551387
GO:0000041,0.027679,0.551035
GO:0000045,0.02759,0.551057
GO:0000048,0.027307,0.550616
GO:0000049,0.026939,0.550669
GO:0000050,0.025517,0.548486
GO:0000052,0.026988,0.55058
GO:0000053,0.026531,0.550493
GO:0000054,0.027027,0.552005
GO:0000055,0.027099,0.551186
GO:0000056,0.027001,0.551491
GO:0000062,0.027174,0.550853
GO:0000064,0.027166,0.550626
GO:0000070,0.026809,0.552965
GO:0000075,0.026563,0.551802
GO:0000076,0.026321,0.552713
GO:0000077,0.026413,0.553138
GO:0000079,0.02633,0.553263
GO:0000082,0.02622,0.553474
GO:0000086,0.026307,0.553151
GO:0000095,0.025908,0.550276
GO:0000096,0.025787,0.550757
GO:0000097,0.02392,0.54783
GO:0000098,0.024638,0.548644
GO:0000099,0.024615,0.548612
GO:0000101,0.024417,0.548402
GO:0000103,0.024627,0.548178
GO:0000104,0.024235,0.548202
GO:0000105,0.024177,0.548112
GO:0000109,0.024292,0.548274
GO:0000110,0.050286,0.621859
GO:0000111,-0.999737,0.118394
GO:0000112,-0.99975,0.118407
GO:0000118,-0.999563,0.118186
GO:0000120,-0.999723,0.118367
GO:0000121,-0.999715,0.118355
GO:0000122,-0.999713,0.118372
GO:0000123,-0.99977,0.118411
GO:0000124,-0.999745,0.118401
GO:0000126,-0.999721,0.118365
GO:0000127,-0.999692,0.118328
GO:0000132,-0.999772,0.118405
GO:0000137,-0.999692,0.118325
GO:0000138,-0.999723,0.118356
GO:0000139,-0.9997,0.118336
GO:0000140,-0.999637,0.118266
GO:0000145,-0.999776,0.11843
GO:0000146,-0.999746,0.118398
GO:0000149,-0.998461,0.116879
GO:0000150,-0.999731,0.118373
GO:0000151,-0.999529,0.118085
GO:0000152,-0.9997,0.11834
GO:0000153,-0.999678,0.118313
GO:0000154,-0.999726,0.118371
GO:0000155,-0.99995,0.118459
GO:0000159,-0.999751,0.118387
GO:0000160,-0.999752,0.118398
GO:0000164,0.05533,0.630229
GO:0000165,-0.999706,0.118345
GO:0000166,-0.999725,0.118213
GO:0000170,-0.999743,0.118373
GO:0000171,-0.999715,0.118342
GO:0000172,-0.999753,0.118387
