ID,layer,category,size,depth,level
GO:1902225,1,biological_process,1,5,5
GO:1903302,1,biological_process,1,5,5
GO:0001830,1,biological_process,1,4,4
GO:1902605,1,biological_process,1,6,6
GO:0001178,1,biological_process,1,11,8
GO:1905280,1,biological_process,1,6,6
GO:0046692,1,biological_process,1,3,3
GO:0021757,1,biological_process,1,4,4
GO:0014886,1,biological_process,1,6,6
GO:0097298,1,biological_process,1,5,5
GO:1903259,1,biological_process,1,6,6
GO:0007495,1,biological_process,1,4,4
GO:0010630,1,biological_process,1,7,7
GO:1902615,1,biological_process,1,3,3
GO:0044357,1,biological_process,1,7,4
GO:0007321,1,biological_process,1,4,4
GO:0007112,1,biological_process,1,4,4
GO:0006666,1,biological_process,1,8,4
GO:0002412,1,biological_process,1,3,3
GO:1905199,1,biological_process,1,5,5
GO:0045107,1,biological_process,1,7,6
GO:0070684,1,biological_process,1,3,3
GO:0060481,1,biological_process,1,6,6
GO:0150138,1,biological_process,1,6,6
GO:0009106,1,biological_process,1,6,4
GO:0070247,1,biological_process,1,8,8
GO:2001114,1,biological_process,1,6,5
GO:0048561,1,biological_process,1,5,5
GO:0030034,1,biological_process,1,7,7
GO:1900036,1,biological_process,1,6,5
GO:0032671,1,biological_process,1,5,5
GO:0090364,1,biological_process,1,6,6
GO:1903457,1,biological_process,1,9,8
GO:1902070,1,biological_process,1,6,6
GO:0043251,1,biological_process,1,5,5
GO:0008626,1,biological_process,1,4,4
GO:0036098,1,biological_process,1,4,4
GO:0000388,1,biological_process,1,7,7
GO:0035039,1,biological_process,1,6,6
GO:0007618,1,biological_process,2,3,3
GO:0097370,1,biological_process,1,8,8
GO:0098967,1,biological_process,1,4,4
GO:1901188,1,biological_process,1,6,6
GO:0015904,1,biological_process,1,5,3
GO:0035677,1,biological_process,1,6,6
GO:0009107,1,biological_process,1,6,5
GO:0003335,1,biological_process,1,4,4
GO:0018969,1,biological_process,1,5,4
GO:0009104,1,biological_process,1,5,5
GO:1902374,1,biological_process,1,7,6
GO:0060097,1,biological_process,1,6,6
GO:0071951,1,biological_process,1,8,8
GO:0160087,1,biological_process,1,3,3
GO:1901384,1,biological_process,1,6,6
GO:0150136,1,biological_process,1,5,5
GO:1904247,1,biological_process,1,6,6
GO:0008653,1,biological_process,1,5,4
GO:0015761,1,biological_process,1,6,6
GO:0120221,1,biological_process,1,7,7
GO:1900260,1,biological_process,1,6,6
GO:0090721,1,biological_process,1,5,5
GO:0021758,1,biological_process,1,4,4
GO:0060470,1,biological_process,1,4,4
GO:0032711,1,biological_process,1,6,6
GO:0035212,1,biological_process,1,4,2
GO:0060857,1,biological_process,1,5,5
GO:0007624,1,biological_process,2,2,2
GO:1990297,1,biological_process,1,5,5
GO:0043041,1,biological_process,1,6,6
GO:0035272,2,biological_process,1,4,4
GO:0021872,2,biological_process,1,6,6
GO:0006185,2,biological_process,1,9,7
GO:0043248,2,biological_process,16,6,6
GO:0046065,2,biological_process,1,9,6
GO:0019255,2,biological_process,1,5,4
GO:0099543,2,biological_process,1,6,6
GO:0099044,2,biological_process,2,5,5
GO:1903965,2,biological_process,1,7,6
GO:0000961,2,biological_process,2,8,7
GO:0050666,2,biological_process,1,7,7
GO:0090035,2,biological_process,1,7,7
GO:0120116,2,biological_process,1,5,5
GO:0140438,2,biological_process,1,7,7
GO:0090320,2,biological_process,1,5,5
GO:0009082,2,biological_process,3,7,6
GO:0019402,2,biological_process,1,7,7
GO:0007412,2,biological_process,3,3,3
GO:0045105,2,biological_process,2,5,5
GO:1904606,2,biological_process,1,5,5
GO:1990168,2,biological_process,4,10,10
GO:0090368,2,biological_process,1,7,6
GO:0010967,2,biological_process,1,6,6
GO:0006050,2,biological_process,2,5,5
GO:0000409,2,biological_process,1,9,9
GO:0021595,2,biological_process,1,3,3
GO:0140060,2,biological_process,1,7,7
GO:0046546,2,biological_process,1,4,4
GO:0032738,2,biological_process,1,6,6
GO:0018395,2,biological_process,1,8,8
GO:0050913,2,biological_process,6,7,7
GO:0006086,2,biological_process,10,9,7
GO:0034463,2,biological_process,1,7,7
GO:2000791,2,biological_process,2,7,5
GO:0046436,2,biological_process,1,7,7
GO:0071584,2,biological_process,1,9,8
GO:1900249,2,biological_process,1,10,10
GO:0032011,2,biological_process,1,6,6
GO:0141171,2,biological_process,1,5,5
GO:0097222,2,biological_process,1,6,6
GO:0042772,2,biological_process,1,5,5
GO:0015780,2,biological_process,13,6,3
GO:0044726,2,biological_process,4,9,9
GO:0072267,2,biological_process,1,5,5
GO:0043634,2,biological_process,2,7,7
GO:0006657,2,biological_process,7,8,8
GO:1902311,2,biological_process,1,7,7
GO:0071217,2,biological_process,1,4,4
GO:2000480,2,biological_process,1,9,9
GO:0072229,2,biological_process,1,7,6
GO:1903830,2,biological_process,20,8,5
GO:0006335,2,biological_process,7,5,5
GO:0006294,2,biological_process,1,7,7
GO:0003092,2,biological_process,1,6,6
GO:0002222,2,biological_process,2,6,6
GO:1902336,2,biological_process,1,7,7
GO:0110059,2,biological_process,2,8,8
GO:0021680,2,biological_process,8,3,3
GO:0001173,2,biological_process,1,7,7
GO:0014860,2,biological_process,1,5,5
GO:0006478,2,biological_process,1,8,6
GO:1904491,2,biological_process,11,7,7
GO:0043461,2,biological_process,8,7,7
GO:0071630,2,biological_process,4,8,8
GO:2000827,2,biological_process,1,9,8
GO:1904050,2,biological_process,1,7,7
GO:2000422,2,biological_process,1,7,6
GO:0072303,2,biological_process,1,8,8
GO:0072736,2,biological_process,1,7,7
GO:1990960,2,biological_process,1,3,3
GO:1903984,2,biological_process,1,9,9
GO:0032431,2,biological_process,1,8,8
GO:0051631,2,biological_process,1,6,6
GO:0006864,2,biological_process,2,6,6
GO:0018910,2,biological_process,1,4,4
GO:2001113,2,biological_process,1,6,6
GO:0002528,2,biological_process,3,4,4
GO:1990390,2,biological_process,2,11,11
